design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,groove_widths_nm,groove_depths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
groove_P550_f0p78_gw180_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,180,150,121.0,121.0,975.2760028970549,248.04351755966064,2,450.1982554476243,65.4737054791856,1,62.223775905539334
groove_P550_f0p78_gw140_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,140,150,121.0,121.0,975.2760028970537,248.04351755945936,2,450.0696488633133,61.396743904026266,1,62.46406881372365
groove_P556_f0p75_gw160_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,160,100,100.0,139.0,979.837778079549,27.30329805875434,1,453.0615996404749,25.721885727359123,1,62.6913264925325
groove_P556_f0p75_gw180_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,180,100,100.0,139.0,979.8377780795576,27.30329805876106,1,453.17509370696143,27.03109000311972,1,62.71857754270586
groove_P556_f0p75_gw160_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,160,180,120.0,139.0,979.8377780795269,27.303298058840845,1,453.1395455659436,25.01316015714774,1,62.81780938053922
groove_P550_f0p78_gw120_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,150,120.0,121.0,975.2760028970537,248.0435175593817,2,449.7439452763304,58.34480483656609,1,62.878344992895975
groove_P556_f0p75_gw140_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,140,180,120.0,139.0,979.8377780795245,27.30329805883081,1,454.0613494885704,25.210352130749225,1,63.72597191137299
groove_P550_f0p78_gw180_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,180,180,120.0,121.0,975.2760028970523,248.04351755969358,2,452.0140561600399,26.082650116698844,1,64.03494833268607
groove_P556_f0p75_gw120_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,180,120.0,139.0,979.8377780795196,27.303298058820115,1,446.21011536437834,43.75915079245387,2,64.49654716443807
groove_P550_f0p78_gw160_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,160,180,120.0,121.0,975.276002897053,248.04351755960087,2,452.8061313730311,26.77212226381727,1,64.7816992093712
groove_P550_f0p78_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,140,100,100.0,121.0,975.2760028970549,248.04351755902078,2,445.5148812387697,130.0629420685551,3,65.71480350162432
groove_P550_f0p78_gw140_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,140,180,120.0,121.0,975.2760028970528,248.04351755948846,2,453.7828635733119,26.767436609884054,1,65.75873547695585
groove_P550_f0p78_gw180_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,180,120,120.0,121.0,975.276002897056,248.04351755939658,2,454.50485747708785,30.00644618639397,1,66.28229826096499
groove_P550_f0p78_gw140_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,140,120,120.0,121.0,975.2760028970549,248.04351755921127,2,454.5165200946773,28.896356942189932,1,66.3594467566111
groove_P550_f0p78_gw160_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,160,120,120.0,121.0,975.2760028970555,248.043517559311,2,454.530706342236,28.776557718294054,1,66.38085000951727
groove_P550_f0p78_gw120_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,180,120.0,121.0,975.2760028970523,248.04351755944967,2,446.7861777644314,38.26666336801127,2,66.56883888703643
groove_P550_f0p78_gw160_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,160,100,100.0,121.0,975.2760028970555,248.04351755908368,2,444.6514816641062,108.6529702099066,3,66.89065095905377
groove_P558_f0p74_gw160_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,160,150,126.46000000000001,145.07999999999998,983.31206722535,27.11056472528353,3,450.09054650638427,42.312040224108976,1,66.99576212724446
groove_P550_f0p78_gw180_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,180,100,100.0,121.0,975.2760028970566,248.04351755916755,2,455.18040819141487,27.613924953175705,1,67.1021946655907
groove_P558_f0p74_gw180_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,180,120,116.46000000000001,145.07999999999998,983.3120672253555,27.110564725288324,3,451.39301130329164,28.52898460230141,1,67.16403054597798
groove_P558_f0p74_gw140_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,140,150,136.46,145.07999999999998,983.3120672253515,27.110564725281215,3,449.9231924357561,42.2361467907393,1,67.16623490301583
groove_P558_f0p74_gw180_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,180,150,116.46000000000001,145.07999999999998,983.3120672253485,27.110564725285645,3,449.77543538183374,41.63124495330025,1,67.33905152587502
groove_P558_f0p74_gw120_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,150,120.0,145.07999999999998,983.3120672253531,27.1105647252785,3,449.6112478152681,41.19054764839727,1,67.5217264212609
groove_P558_f0p74_gw160_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,160,120,120.0,145.07999999999998,983.3120672253563,27.1105647252853,3,451.69439043859705,26.728911325510865,1,67.57862985891308
groove_P558_f0p74_gw140_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,140,120,120.0,145.07999999999998,983.3120672253576,27.11056472528226,3,451.8332973126068,26.234136175202043,1,67.74999473961604
groove_P558_f0p74_gw180_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,180,180,116.46000000000001,145.07999999999998,983.3120672253451,27.11056472527906,3,452.05903917685214,23.739048057939247,1,68.14935047939127
groove_P558_f0p74_gw180_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,180,100,100.0,145.07999999999998,983.3120672253614,27.110564725285126,3,452.4742621857031,26.77863465584013,1,68.35527296620985
groove_P558_f0p74_gw160_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,160,100,100.0,145.07999999999998,983.3120672253618,27.11056472528155,3,452.400028721036,25.404499103776832,1,68.3725506765094
groove_P562_f0p72_gw180_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,180,100,100.0,157.36,977.3892518643097,9.870328050302982,1,451.1820569025978,26.49689199696558,1,68.75045232197945
groove_P562_f0p72_gw160_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,160,100,100.0,157.36,977.3892518638271,9.87032805027907,1,451.13636634845784,25.18553179636025,1,68.79293700899991
groove_P562_f0p72_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,140,100,100.0,157.36,977.3892518632839,9.870328050279143,1,451.1311743610583,24.647381641167446,1,68.82526636553956
groove_P562_f0p72_gw140_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,140,120,120.0,157.36,977.3892518639074,9.870328050453292,1,450.68547882885815,26.00910138330459,1,68.91519494323673
groove_P562_f0p72_gw160_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,160,120,120.0,157.36,977.38925186429,9.870328050487565,1,450.5045976298047,26.53187314321459,1,69.0615058831271
groove_P558_f0p74_gw160_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,160,180,120.0,145.07999999999998,983.3120672253468,27.11056472527755,3,453.2104167772122,24.455408440004497,1,69.24908159612819
groove_P562_f0p72_gw180_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,180,120,112.32,157.36,977.3892518645758,9.8703280505282,1,450.1976905896127,28.220755829738525,1,69.26121000657886
groove_P562_f0p72_gw140_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,140,150,132.32,157.36,977.3892518639065,9.870328050647895,1,449.68143207551907,37.427920654490244,1,69.28696028620698
groove_P562_f0p72_gw160_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,160,150,122.32,157.36,977.3892518640829,9.87032805067606,1,449.71079657920166,36.27205541490985,1,69.31208991752801
groove_P562_f0p72_gw180_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,180,180,112.32,157.36,977.3892518637574,9.870328050783229,1,453.1474932883647,59.24185023293631,2,69.31815399529617
groove_P562_f0p72_gw120_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,150,120.0,157.36,977.3892518635828,9.870328050607208,1,449.43601635610355,37.829076675994685,1,69.51385584174474
groove_P562_f0p72_gw180_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,180,150,112.32,157.36,977.3892518642334,9.87032805070985,1,449.2142519882538,35.65760233148823,1,69.83831462434325
groove_P558_f0p74_gw140_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,140,180,120.0,145.07999999999998,983.3120672253485,27.110564725276294,3,454.15092692729905,24.76503802530622,1,70.16773543181145
groove_P558_f0p74_gw120_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,180,120.0,145.07999999999998,983.31206722535,27.11056472527397,3,446.0014916929981,45.47977420410406,2,70.95939960870834
groove_P562_f0p72_gw160_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,160,180,120.0,157.36,977.3892518636545,9.870328050755685,1,453.19647861493615,23.43946287644972,1,70.97786315582066
groove_P562_f0p72_gw140_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,140,180,120.0,157.36,977.3892518635105,9.870328050725925,1,454.2919196188869,23.891674014451027,1,72.04010846000735
groove_P562_f0p72_gw120_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,180,120.0,157.36,977.3892518632655,9.870328050704066,1,445.5475679573122,48.84784545944057,2,72.95822555426751
